CTRL-002,Controls,Receiving discrepancy dispute window,How long can clients dispute receiving counts?,,Best practice: short defined window,5-10 business days,5-10 business days after receipt report,Finance + AM,Receipt report timestamp,After window closed,Rule,
CTRL-003,Controls,Invoice dispute window,How long can clients dispute invoices/accessorials?,,Common: 15-30 days,15-30 days,15-30 days after invoice,Finance,Invoice date,Undisputed due remains due,Rule,
CTRL-004,Controls,Freight adjustment billing window,How long can carrier adjustments be billed after shipment?,Shipping adjustments says 1-120 days; TOS says within 12 months for penalties from incorrect details,Carrier invoices can lag,Use 120 days public + contract broader,Carrier adjustments may bill when received,Finance,Carrier invoice,Post-shipment invoice,Rule,
CTRL-005,Controls,Waiver authority,Who can waive fees and how are waivers logged?,,Waivers leak margin if uncontrolled,AM request + Finance/Ops approval,Waivers require reason and approver,Leadership,Waiver note; reason; client,No SLA impact,Rule,
CTRL-006,Controls,Repeat offender escalation,When does repeated noncompliance trigger higher fees or required correction plan?,,Repeat miss = accountability/commercial issue,After 2 incidents in 60 days,Repeat noncompliance requires corrective plan,AM + Ops Director,Incident history,May pause receiving privileges,Rule,
CTRL-007,Controls,Atomix fault vs client fault,How do we decide if Atomix absorbs vs bills?,,Need honest fault rules,Root-cause evidence-based,Atomix absorbs only when Atomix fault is proven,Ops + AM,Logs; photos; owner; timestamps,Depends,Rule,
HOLD-001,Holds / Storage,Inventory hold storage,Do client-caused holds remain billable storage?,,Inventory occupying space should not be free,Bill after grace,Storage starts after receipt or after 48-72 hr grace,Finance + Inventory,Hold reason; location; date,SLA paused,Pallet/bin/day,
HOLD-002,Holds / Storage,Quarantine / unknown inventory,Do we charge storage and research for unknown/damaged/nonconforming inventory?,,Prevents dead inventory drag,Charge,Storage + $60/hr research,Inventory Control,Photos; hold location; time log,SLA paused,Pallet/day + labor,
HOLD-003,Holds / Storage,Disposal / RTV / donation,"Do we charge for disposal, return to vendor, donation, or destruction?",,Needs approval + fee to avoid disputes,Charge + pass-through,Quote or $60/hr + disposal/carrier cost,AM + Warehouse,Written approval; qty; photos,No SLA,Unit/pallet/hour,
FINAL-001,Final Policy,Public help center vs contract,Which fees belong in public help center vs MSA/rate card?,,Client education should not expose every negotiated rate; policy must be enforceable,Public triggers; rate card exact fees,Public: triggers/examples. Contract/rate card: exact fees.,Leadership + Legal/Finance,Final approved fee matrix,N/A,Rule,
FINAL-002,Final Policy,Client-safe wording,Do we want softer educational wording or firmer enforcement wording?,,Need balance: client trust + margin protection,Hybrid,"Plain language, no surprise fees, clear responsibility",AM + Leadership,Approved copy,N/A,Rule,
FINAL-003,Final Policy,Implementation order,Which fee/rule changes go live first?,,Avoid boiling ocean,V1 addendum first,"Start with SLA pause, fee matrix, evidence, B2B responsibility, carrier admin",Leadership,Approved go-live checklist,N/A,Rule,
